no,모델명,연월,연식,연료,인승,최대출력(마력),기통,최대토크(kgm),구동방식,자동수동,국산/수입,신차가(만원),가격(만원),주행거리
9906,기아 뉴 카니발 GLX 최고급형,06/07,2006.0,디젤,,192.0,,36.5,FF,,국산,,630.0,200000
9907,르노삼성 SM5 뉴 임프레션 LE,08/07(09년형),2009.0,가솔린,,143.0,4.0,20.0,FF,,국산,2390.0,790.0,100000
9908,기아 그랜드카니발 GLX  고급형,14/01,2014.0,디젤,,192.0,,36.0,FF,,국산,2475.0,1550.0,120000
9909,기아 뉴 쏘렌토R 디젤 2.0 2WD 트렌디,13/09(14년형),2014.0,디젤,,184.0,4.0,41.0,FF,,국산,2895.0,2290.0,30000
9910,현대 제네시스 쿠페 200 터보 R,08/11(09년형),2009.0,가솔린,,210.0,4.0,30.5,FR,,국산,2942.0,1280.0,60000
9911,현대 뉴 에쿠스 VL 500 프레스티지,11/11(12년형),2012.0,가솔린,,430.0,8.0,52.0,FR,,국산,14300.0,3350.0,80000
9912,기아 스팅어 3.3 T-GDi AWD GT,17/07(18년형),2018.0,가솔린,,370.0,,52.0,AWD,,국산,5110.0,4100.0,40000
9913,기아 오피러스 프리미엄 GH330 고급형 럭셔리,09/10(10년형),2010.0,가솔린,,259.0,6.0,32.2,FF,,국산,4468.0,980.0,180000
9914,현대 포터Ⅱ 초장축 슈퍼캡 CRDi 기본형,14/11(15년형),2015.0,디젤,,133.0,,,,수동,국산,,999.0,70000
9915,기아 뉴 오피러스 GH270 고급형 럭셔리,07/01,2007.0,가솔린,,192.0,6.0,25.5,FF,,국산,3810.0,270.0,180000
9916,기아 더 프레스티지 K7 2.4 GDI 럭셔리,12/09(13년형),2013.0,가솔린,,201.0,4.0,25.5,FF,,국산,2999.0,1830.0,50000
9917,기아 레이 1.0 가솔린 럭셔리,14/12(15년형),2015.0,가솔린,,78.0,3.0,9.6,FF,,국산,1426.0,1150.0,30000
9918,현대 테라칸 2.9 CRDi 디젤 JX290 4WD 최고급형,03/07,2003.0,디젤,,150.0,4.0,34.0,4WD,,국산,2776.0,690.0,80000
9919,현대 뉴 에쿠스 VS 380 모던,14/04(15년형),2015.0,가솔린,,334.0,6.0,40.3,FR,,국산,6783.0,2790.0,100000
9920,르노삼성 SM5 뉴 임프레션 LE 익스클루시브,07/12(08년형),2008.0,가솔린,,143.0,,18.8,FF,,국산,2460.0,350.0,120000
9921,기아 더 뉴 K7 3.0 LPi 프레스티지,13/11,2013.0,LPG,,,,,,,국산,,812.0,250000
9922,기아 올 뉴 K7 하이브리드 2.4 HEV 노블레스,17/08,2017.0,가솔린+전기,,199.0,4.0,26.7,FF,,국산,4023.0,2470.0,70000
9923,기아 뉴 스포티지 TLX 2WD 고급형,09/10(10년형),2010.0,디젤,,151.0,4.0,32.0,FF,,국산,2044.0,290.0,170000
9924,현대 그랜져HG 300 LPG 프리미엄,13/10(14년형),2014.0,LPG,,235.0,,28.6,FF,,국산,,1680.0,40000
9925,기아 레이 1.0 가솔린 럭셔리,12/10(13년형),2013.0,가솔린,,78.0,3.0,9.6,FF,,국산,1375.0,598.0,80000
9926,현대 뉴 제네시스 G330 모던 AWD,15/10(16년형),2016.0,가솔린,,282.0,6.0,35.4,AWD,,국산,4807.0,4390.0,2000
9927,현대 더 뉴 제네시스 쿠페 380 GT R,14/08,2014.0,가솔린,,350.0,6.0,40.8,FR,,국산,3583.0,1690.0,60000
9928,현대 YF쏘나타 2.4 F24 GDI 최고급형,10/06,2010.0,가솔린,,201.0,4.0,25.5,FF,,국산,2992.0,1290.0,160000
9929,현대 투스카니 2.7 엘리사 슈퍼형,04/04,2004.0,가솔린,4.0,175.0,6.0,25.0,FF,수동,국산,2223.0,300.0,140000
9930,GM대우 G2X 2.0 터보,08/05,2008.0,가솔린,,264.0,,36.0,FR,,국산,4380.0,1490.0,90000
9931,현대 그랜져HG 240 모던,15/05,2015.0,가솔린,,190.0,4.0,25.5,FF,,국산,2988.0,2150.0,50000
9932,르노삼성 SM7 뉴 아트 프레스티지,09/10(10년형),2010.0,가솔린,,170.0,6.0,23.0,FF,,국산,3270.0,1490.0,80000
9933,기아 더 뉴 스포티지R 2.0 디젤 2WD 프레스티지,14/02,2014.0,디젤,,184.0,4.0,41.0,FF,,국산,2565.0,2290.0,50000
9934,현대 LF쏘나타 하이브리드 2.0 HEV 모던,15/08(16년형),2016.0,가솔린+전기,,191.0,4.0,27.0,FF,,국산,3138.0,1870.0,40000
9935,기아 스포티지 4세대 2.0 디젤 2WD 노블레스 스페셜,17/10(18년형),2018.0,디젤,,186.0,4.0,41.0,FF,,국산,2935.0,2090.0,10000
9936,현대 뉴 에쿠스 VS 380 프리미엄,13/10(14년형),2014.0,가솔린,,334.0,6.0,40.3,FR,,국산,7833.0,1990.0,160000
9937,쉐보레 스파크 L,11/05(12년형),2012.0,가솔린,5.0,70.0,4.0,9.4,FF,수동,국산,910.0,228.0,90000
9938,기아 올 뉴 쏘렌토 2.0 디젤 2WD 럭셔리,15/11(16년형),2016.0,디젤,,186.0,4.0,41.0,FF,,국산,2845.0,1250.0,80000
9939,현대 아반떼XD 1.5 디럭스 고급형,02/11,2002.0,가솔린,,108.0,4.0,14.3,FF,,국산,1060.0,150.0,120000
9940,르노삼성 뉴 SM5 RE 25,11/06,2011.0,가솔린,,178.0,4.0,23.3,FF,,국산,3010.0,688.0,70000
9941,현대 그랜져HG 240 럭셔리,12/03,2012.0,가솔린,,201.0,4.0,25.5,FF,,국산,2994.0,1895.0,30000
9942,현대 뉴 에쿠스 VS 380 프레스티지 VIPⅡ,09/09(10년형),2010.0,가솔린/CNG겸용,,290.0,6.0,36.5,FR,,국산,9940.0,1590.0,190000
9943,기아 더 뉴 모닝 터보 럭셔리,15/02(16년형),2016.0,가솔린,,106.0,3.0,14.0,FF,,국산,1440.0,1099.0,20000
9944,기아 올 뉴 모닝 1.0 가솔린 디럭스 스페셜,13/03,2013.0,가솔린,,82.0,3.0,9.6,FF,,국산,1050.0,340.0,70000
9945,기아 뉴 카니발 GX 최고급형,09/09(10년형),2010.0,디젤,,197.0,,44.5,FF,,국산,,688.0,140000
9946,기아 K5 2.0 LPi 프레스티지,10/06(11년형),2011.0,LPG,,144.0,,19.3,FF,,국산,,1480.0,100000
9947,현대 투싼 2.0 CRDi 디젤 JX 2WD 고급형,09/02,2009.0,디젤,,115.0,4.0,26.0,FF,,국산,1610.0,250.0,190000
9948,현대 싼타페DM 2.0 VGT 2WD 익스클루시브,14/01,2014.0,디젤,,184.0,4.0,41.0,FF,,국산,3198.0,1750.0,70000
9949,현대 제네시스 BH380 로얄 VIP 팩,08/05,2008.0,가솔린/LPG겸용,,290.0,6.0,36.5,FR,,국산,6021.0,1499.0,300000
9950,르노삼성 올 뉴 SM7 LE 파노라마,11/09(12년형),2012.0,가솔린,,190.0,6.0,24.8,FF,,국산,3262.0,1299.0,100000
9951,기아 올 뉴 쏘렌토 2.2 디젤 4WD 노블레스 스페셜,16/11(17년형),2017.0,디젤,,202.0,4.0,45.0,4WD,,국산,3575.0,2870.0,20000
9952,기아 쎄라토 1.6 CVVT 골드 프리미엄,05/11(06년형),2006.0,가솔린,,110.0,4.0,14.8,FF,,국산,1409.0,299.0,120000
9953,쌍용 뉴렉스턴 RX5 EDi 고급형,04/08(05년형),2005.0,디젤,,,5.0,,4WD,,국산,2797.0,450.0,190000
9954,현대 NF쏘나타 N20 럭셔리 고급형,06/03,2006.0,가솔린,,144.0,4.0,23.0,FF,,국산,2023.0,390.0,230000
9955,기아 레이 1.0 가솔린 디럭스,16/09,2016.0,가솔린,,78.0,3.0,9.6,FF,,국산,1281.0,420.0,120000
9956,현대 뉴 투싼ix 2.0 디젤 4WD 스마트,14/04,2014.0,디젤,,184.0,4.0,39.0,4WD,,국산,2270.0,1430.0,20000
9957,현대 아반떼HD 1.6 VVT E16 디럭스,07/04,2007.0,가솔린,,124.0,4.0,15.9,FF,,국산,1230.0,260.0,100000
9958,기아 포르테 쿱 1.6 CVVT 고급형 레드프리미엄,09/10(10년형),2010.0,가솔린,,124.0,4.0,15.9,FF,,국산,1905.0,470.0,160000
9959,현대 YF쏘나타 2.0 Y20 LPi 프리미어 장애인용,10/10(11년형),2011.0,LPG,,157.0,,20.0,FF,,국산,,1290.0,120000
9960,현대 싼타페 더 프라임 2.0 디젤 4WD 익스클루시브,16/10(17년형),2017.0,디젤,,186.0,4.0,41.0,4WD,,국산,3408.0,2250.0,50000
9961,GM대우 마티즈 크리에이티브 그루브 일반형,10/07,2010.0,가솔린,5.0,70.0,4.0,9.4,FF,수동,국산,1009.0,280.0,90000
9962,기아 K3 1.6 GDI 트렌디,13/11(14년형),2014.0,가솔린,,140.0,4.0,16.9,FF,,국산,1837.0,1089.0,70000
9963,쌍용 뉴 코란도 C 2.0 디젤 CVS 고급형,14/10,2014.0,디젤,5.0,149.0,4.0,36.7,FF,수동,국산,2071.0,890.0,100000
9964,쉐보레 스파크 LT,14/01,2014.0,가솔린,,70.0,4.0,9.4,FF,,국산,1168.0,570.0,40000
9965,현대 스타렉스 리무진,02/04,2002.0,디젤,,,,,,,국산,,250.0,260000
9966,현대 쏘나타 더 브릴리언트 2.0 LPi 스타일,13/05,2013.0,LPG,,157.0,,20.0,FF,,국산,,772.0,90000
9967,기아 뉴 오피러스 GH330 최고급형,06/11(07년형),2007.0,가솔린,,247.0,6.0,31.5,FF,,국산,4250.0,580.0,50000
9968,현대 쏘나타 트랜스폼 N20 LPI 디럭스,09/07(10년형),2010.0,LPG,,141.0,,19.0,FF,,국산,1527.0,270.0,80000
9969,기아 K3 쿱 1.6 T-GDi 노블레스,13/09(14년형),2014.0,가솔린,,204.0,4.0,27.0,FF,,국산,2295.0,1370.0,70000
9970,현대 뉴 투스카니 2.0 GT 고급형,07/04,2007.0,가솔린,4.0,143.0,,19.0,FF,수동,국산,,490.0,100000
9971,GM대우 뉴 라세티 1.6 플래티늄 고급형,07/12(08년형),2008.0,가솔린,,109.0,4.0,15.0,FF,,국산,1523.0,380.0,60000
9972,기아 레이 1.0 가솔린 럭셔리,12/11(13년형),2013.0,가솔린,,78.0,3.0,9.6,FF,,국산,1375.0,780.0,30000
9973,현대 제네시스 쿠페 200 터보,10/07(11년형),2011.0,가솔린,,210.0,4.0,30.5,FR,,국산,3198.0,890.0,110000
9974,현대 에쿠스 JS 350 럭셔리,04/07,2004.0,가솔린,,210.0,6.0,31.0,FF,,국산,5852.0,550.0,220000
9975,기아 K5 2.0 스마트,11/04,2011.0,가솔린,,165.0,4.0,20.2,FF,,국산,2145.0,620.0,120000
9976,기아 모하비 KV300 4WD 최고급형,13/06(14년형),2014.0,디젤,,260.0,6.0,56.0,4WD,,국산,4511.0,1650.0,150000
9977,기아 모하비 KV300 상시4WD,14/01,2014.0,디젤,,260.0,6.0,56.0,4WD,,국산,4625.0,3730.0,30000
9978,현대 제네시스 BH380 로얄 VIP 팩,08/08(09년형),2009.0,가솔린,,290.0,6.0,36.5,FR,,국산,6021.0,1399.0,180000
9979,기아 쏘울 1.6 GDi 럭셔리,12/01,2012.0,가솔린,,140.0,4.0,16.9,FF,,국산,1690.0,780.0,40000
9980,기아 모하비 KV300 4WD 고급형,08/02,2008.0,디젤,,250.0,6.0,55.1,4WD,,국산,4233.0,1750.0,250000
9981,기아 쏘렌토R 2.0 TLX 2WD 최고급형,11/03,2011.0,디젤,,184.0,4.0,40.0,FF,,국산,2878.0,1495.0,150000
9982,기아 K5 2.0 럭셔리,11/01,2011.0,가솔린,,165.0,4.0,20.2,FF,,국산,2495.0,1400.0,60000
9983,현대 e마이티 2.5톤 슈퍼캡 골드,04/11(05년형),2005.0,디젤,,,,,,수동,국산,,1088.0,180000
9984,기아 쏘울 1.6 2U 세이프티,09/09(10년형),2010.0,가솔린,,124.0,4.0,15.9,FF,,국산,1656.0,550.0,120000
9985,현대 제네시스 쿠페 200 터보 R,11/04,2011.0,가솔린,,210.0,4.0,30.5,FR,,국산,3022.0,1290.0,20000
9986,기아 K5 2.0 LPi 디럭스,10/06(11년형),2011.0,LPG,,144.0,,19.3,FF,,국산,,430.0,100000
9987,현대 테라칸 2.9 CRDi 디젤 JX290 4WD 골드 최고급형 블랙스페셜,04/07,2004.0,디젤,,174.0,4.0,36.0,4WD,,국산,2903.0,890.0,110000
9988,현대 더 뉴 아반떼 1.6 GDi 프리미엄 튜익스 에디션 II,14/06(15년형),2015.0,가솔린,,140.0,4.0,16.9,FF,,국산,2065.0,1260.0,80000
9989,현대 제네시스 쿠페 200 터보 RW,09/07(10년형),2010.0,가솔린,,210.0,4.0,30.5,FR,,국산,3136.0,650.0,120000
9990,기아 K5 2.0 프레스티지,11/04,2011.0,가솔린,,165.0,4.0,20.2,FF,,국산,2595.0,1490.0,60000
9991,현대 아반떼MD M16 GDi 프리미어,11/06(12년형),2012.0,가솔린,,,,,,수동,국산,1810.0,590.0,120000
9992,쉐보레 크루즈 2.0 LTZ,11/10(12년형),2012.0,디젤,,163.0,4.0,36.7,FF,,국산,2035.0,1089.0,110000
9993,쉐보레 스파크 LT,12/05,2012.0,가솔린,,70.0,4.0,9.4,FF,,국산,1143.0,599.0,50000
9994,기아 뉴 오피러스 GH270 스페셜 럭셔리,09/03,2009.0,가솔린,,192.0,6.0,25.5,FF,,국산,3555.0,790.0,150000
9995,현대 더 뉴 제네시스 쿠페 380 GT R,12/11,2012.0,가솔린,,350.0,6.0,40.8,FR,,국산,3536.0,2080.0,90000
9996,기아 K7 VG270 LPI 프레스티지,10/02,2010.0,LPG,,165.0,,25.0,FF,,국산,,1590.0,140000
9997,제네시스 G70 2.2 디젤 엘리트,19/09,2019.0,디젤,,202.0,4.0,45.0,FR,,국산,4300.0,3550.0,10000
9998,기아 로체 이노베이션 2.0 LX 스페셜,08/07(09년형),2009.0,가솔린,,163.0,4.0,20.1,FF,,국산,2018.0,670.0,80000
9999,GM대우 뉴 라세티 해치백 1.6 플래티늄,07/06,2007.0,가솔린,,109.0,4.0,15.0,FF,,국산,1518.0,350.0,80000
10000,현대 그랜져TG 아제라 ,08/06(07년형),2007.0,가솔린,,237.0,,31.3,FF,,국산,,599.0,70000
10001,기아 K7 VG270 럭셔리,10/04,2010.0,가솔린,,200.0,6.0,26.0,FF,,국산,3330.0,850.0,130000
10002,르노삼성 SM7 뉴 아트 LE23,08/09,2008.0,가솔린,,170.0,6.0,23.0,FF,,국산,3100.0,590.0,130000
10003,현대 아반떼MD M16 GDi 럭셔리,12/11(13년형),2013.0,가솔린,,,4.0,,FF,,국산,1520.0,890.0,130000
10004,현대 뉴 제네시스 G330 프리미엄 AWD,14/07(15년형),2015.0,가솔린,,282.0,6.0,35.4,AWD,,국산,5401.0,3590.0,60000
10005,현대 e마이티 3.5톤 냉동탑차,07/03,2007.0,디젤,,,,,,수동,국산,,1688.0,160000
10006,르노삼성 QM5 디젤 2WD RE,08/01,2008.0,디젤,,150.0,4.0,32.6,FF,,국산,2840.0,380.0,150000
10007,현대 LF쏘나타 2.4 GDi 익스클루시브,14/09(15년형),2015.0,가솔린,,193.0,4.0,25.5,FF,,국산,2990.0,1930.0,50000
10008,현대 제네시스 쿠페 200 터보 R,08/11(09년형),2009.0,가솔린,,210.0,4.0,30.5,FR,,국산,2942.0,650.0,120000
10009,쌍용 체어맨W CW700 4트로닉 VVIP,10/10(11년형),2011.0,가솔린,,250.0,6.0,35.0,4WD,,국산,7650.0,1750.0,120000
10010,기아 올 뉴 카니발 2.2 디젤 9인승 노블레스 스페셜,17/07(18년형),2018.0,디젤,,202.0,4.0,45.0,FF,,국산,3885.0,2990.0,30000
10011,기아 레이 1.0 가솔린 프레스티지,14/04,2014.0,가솔린,,78.0,3.0,9.6,FF,,국산,1514.0,820.0,60000
10012,현대 그랜드스타렉스 캠핑카 ,13/07(14년형),2014.0,디젤,,174.0,,41.0,,,국산,,3500.0,10000
10013,현대 트라제XG 2.0 GL 디젤 9인승 고급형,04/01,2004.0,디젤,,115.0,4.0,26.5,FF,,국산,1828.0,290.0,150000
10014,기아 K9 3.3 GDI 이그제큐티브,14/05,2014.0,가솔린,,300.0,6.0,35.5,FR,,국산,5590.0,2250.0,90000
10015,현대 YF쏘나타 2.0 Y20 프리미어 고급형,11/07,2011.0,가솔린,,165.0,4.0,20.2,FF,,국산,2490.0,540.0,150000
10016,현대 뉴 제네시스 G330 프리미엄 AWD,15/06(16년형),2016.0,가솔린,,282.0,6.0,35.4,AWD,,국산,5401.0,2550.0,110000
10017,현대 벨로스터 익스트림,11/08(12년형),2012.0,가솔린,,140.0,4.0,17.0,FF,,국산,2095.0,550.0,90000
10018,GM대우 토스카 프리미엄6 L6 2.0 LPG 디럭스,08/06,2008.0,LPG,,137.0,,19.5,FF,,국산,,358.0,130000
10019,기아 모하비 KV300 2WD 고급형,08/09,2008.0,디젤,,250.0,6.0,55.1,FR,,국산,3996.0,1690.0,160000
10020,현대 i40 1.7 VGT 왜건 스마트,12/07,2012.0,디젤,,140.0,4.0,33.0,FF,,국산,2775.0,1650.0,90000
10021,기아 K7 하이브리드 700h 프레스티지,14/07,2014.0,가솔린+전기,,199.0,4.0,26.7,FF,,국산,3738.0,1430.0,150000
10022,기아 K9 3.3 GDI RVIP,13/04(14년형),2014.0,가솔린,,300.0,6.0,35.5,FR,,국산,6280.0,1590.0,210000
10023,현대 그랜져HG 300 LPG 익스클루시브,15/04,2015.0,LPG,,235.0,,28.6,FF,,국산,,1390.0,130000
10024,현대 쏠라티 15인승 디럭스,15/10,2015.0,디젤,15.0,170.0,,43.0,FR,수동,국산,,3990.0,70000
10025,현대 그랜져TG Q270 LPI 장애인용,07/02,2007.0,LPG,,165.0,,25.0,FF,,국산,24120.0,630.0,110000
10026,현대 그랜져TG L330 모젠 탑,05/06,2005.0,가솔린,,233.0,6.0,31.0,FF,,국산,3862.0,690.0,70000
10027,르노삼성 SM6 2.0 LPe SE,17/01(16년형),2016.0,LPG,,140.0,,19.7,FF,,국산,,1700.0,7000
10028,현대 갤로퍼2 7인승 롱바디 인터쿨러 슈퍼 최고급형,01/01,2001.0,디젤,7.0,,,,4WD,수동,국산,,1350.0,190000
10029,현대 싼타페 더스타일 2.0 e-VGT MLX 2WD 럭셔리,10/07(11년형),2011.0,디젤,,,,,,,국산,,880.0,190000
10030,기아 그랜드카니발 GLX 최고급형,08/11(09년형),2009.0,디젤,,170.0,4.0,36.0,FF,,국산,2510.0,1120.0,90000
10031,르노삼성 뉴SM5 플래티넘 LPLi 장애인용 LE,14/10,2014.0,LPG,,,,,FF,,국산,,899.0,160000
10032,현대 그랜져HG 300 LPG 모던,14/11(15년형),2015.0,LPG,,235.0,,28.6,FF,,국산,,990.0,180000
10033,현대 아반떼MD M16 GDi 프리미어,10/09(11년형),2011.0,가솔린,,140.0,,17.0,FF,,국산,1810.0,550.0,90000
10034,기아 올 뉴 카니발 하이리무진 2.2 디젤 9인승 프레스티지,14/07(15년형),2015.0,디젤,,202.0,4.0,45.0,FF,,국산,4985.0,4300.0,30000
10035,세진 이동업무차,17/06,2017.0,디젤,,,,,,,국산,,2750.0,40000
10036,현대 제네시스 쿠페 380 GT R,09/12(10년형),2010.0,가솔린,,303.0,6.0,36.8,FR,,국산,3392.0,820.0,180000
10037,현대 그랜드스타렉스 VAN 3인승 CVX 디럭스,07/08(08년형),2008.0,디젤,,174.0,,41.0,FR,,국산,1939.0,600.0,280000
10038,현대 그랜드스타렉스 특수 구급차,09/02,2009.0,디젤,,,,,FR,,국산,,2950.0,20000
10039,현대 YF쏘나타 2.4 F24 GDI 최고급형,10/03,2010.0,가솔린,,201.0,4.0,25.5,FF,,국산,2992.0,790.0,80000
10040,현대 i30CW 1.6 VVT 럭셔리,09/02,2009.0,가솔린,5.0,124.0,4.0,15.9,FF,수동,국산,1510.0,598.0,90000
10041,기아 레토나 크루저 GX 밴 최고급형,01/05,2001.0,디젤,,83.0,,83.0,4WD,,국산,,1100.0,170000
10042,기아 포르테 쿱 2.0 CVVT 고급형 레드프리미엄,11/09(12년형),2012.0,가솔린,5.0,158.0,4.0,20.2,FF,수동,국산,1966.0,590.0,90000
10043,기아 K5 2.0 프레스티지,10/06(11년형),2011.0,가솔린,,165.0,4.0,20.2,FF,,국산,2595.0,1190.0,90000
10044,기아 스포티지 더 볼드 2.0 디젤 2WD 럭셔리,19/04,2019.0,디젤,,186.0,4.0,41.0,FF,,국산,2415.0,1990.0,8000
10045,현대 뉴 제네시스 G330 프리미엄 AWD,15/06(16년형),2016.0,가솔린,,282.0,6.0,35.4,AWD,,국산,5401.0,2990.0,50000
10046,기아 레이 1.0 가솔린 럭셔리,14/05,2014.0,가솔린,,78.0,3.0,9.6,FF,,국산,1406.0,790.0,60000
10047,GM대우 뉴 라보 접이식탑차 롱카고,16/09(17년형),2017.0,LPG,2.0,43.0,,6.7,FR,수동,국산,971.0,468.0,3000
10048,기아 더 뉴 스포티지R 2.0 디젤 2WD 프레스티지,13/10(14년형),2014.0,디젤,,184.0,4.0,41.0,FF,,국산,2565.0,1390.0,120000
10049,현대 제네시스 쿠페 200 터보 P,09/04,2009.0,가솔린,,210.0,4.0,30.5,FR,,국산,2641.0,999.0,100000
10050,현대 갤로퍼2 9인승 V6 LPG,98/05,1998.0,LPG,9.0,,,,4WD,수동,국산,,390.0,150000
10051,현대 LF쏘나타 2.0 CVVL 스마트 스페셜,14/08(15년형),2015.0,가솔린,,168.0,4.0,20.5,FF,,국산,2695.0,2050.0,40000
10052,기아 포르테 쿱 1.6 CVVT 고급형 레드프리미엄,09/12(10년형),2010.0,가솔린,,124.0,4.0,15.9,FF,,국산,1905.0,260.0,50000
10053,기아 레이 1.0 밴 고급형,15/12(16년형),2016.0,가솔린,,78.0,3.0,9.6,FF,,국산,,850.0,60000
10054,기아 더 뉴 K5 터보 노블레스,13/07(14년형),2014.0,가솔린,,271.0,4.0,37.1,FF,,국산,2995.0,1590.0,60000
10055,르노삼성 뉴 SM3 RE,10/07(11년형),2011.0,가솔린,,112.0,4.0,15.9,FF,,국산,1890.0,699.0,80000
10056,기아 더 뉴 스포티지R 2.0 디젤 2WD 트렌디,14/07,2014.0,디젤,,184.0,4.0,41.0,FF,,국산,2380.0,2090.0,60000
10057,현대 뉴 i30 1.6 VGT PYL,12/08,2012.0,디젤,,128.0,4.0,26.5,FF,,국산,2095.0,1390.0,60000
10058,쌍용 액티언 스포츠 AX7 4WD 패션,10/11(11년형),2011.0,디젤,,145.0,,31.6,FR,,국산,2390.0,690.0,160000
10059,현대 그랜져HG 300 로얄,11/07,2011.0,가솔린,,270.0,6.0,31.5,FF,,국산,3901.0,1250.0,140000
10060,현대 투싼ix 디젤 LX20 2WD 럭셔리,09/10(10년형),2010.0,디젤,,184.0,4.0,40.0,FF,,국산,2390.0,890.0,80000
10061,기아 포르테 쿱 2.0 CVVT 프레스티지,12/08(13년형),2013.0,가솔린,5.0,158.0,4.0,20.2,FF,수동,국산,1927.0,650.0,30000
10062,GM대우 마티즈 크리에이티브 재즈 스타,10/01,2010.0,가솔린,,70.0,4.0,9.4,FF,,국산,1024.0,550.0,60000
10063,현대 제네시스 쿠페 200 터보 R,11/03,2011.0,가솔린,,210.0,4.0,30.5,FR,,국산,3022.0,530.0,170000
10064,쌍용 체어맨 CM 400S,02/07,2002.0,가솔린,,150.0,4.0,22.4,FR,,국산,3499.0,240.0,130000
10065,현대 그랜져HG 330 셀러브리티,12/07,2012.0,가솔린,,294.0,6.0,35.3,FF,,국산,4450.0,1390.0,120000
10066,현대 제네시스 쿠페 200 터보 D,10/03,2010.0,가솔린,,210.0,4.0,30.5,FR,,국산,2320.0,1290.0,110000
10067,현대 그랜져HG 300 익스클루시브,14/01,2014.0,가솔린,,270.0,6.0,31.5,FF,,국산,3595.0,1690.0,70000
10068,GM대우 라세티 프리미어 CDX 일반형,10/02,2010.0,디젤,,114.0,4.0,15.5,FF,,국산,1662.0,490.0,110000
10069,쌍용 체어맨H 600S 최고급형,08/02,2008.0,가솔린,,220.0,6.0,31.0,FR,,국산,4044.0,269.0,170000
10070,기아 뉴모닝 LX 기본형 블랙프리미엄,09/01,2009.0,가솔린,,64.0,4.0,8.8,FF,,국산,799.0,220.0,110000
10071,기아 모하비 KV300 4WD 최고급형,11/04,2011.0,디젤,,260.0,6.0,56.0,4WD,,국산,4511.0,1620.0,90000
10072,제네시스 G70 2.0 T-GDi AWD 스포츠 패키지,17/11(18년형),2018.0,가솔린,,255.0,4.0,36.0,AWD,,국산,4525.0,3400.0,20000
10073,현대 벨로스터 익스트림 터보,12/10(13년형),2013.0,가솔린,,204.0,4.0,26.9,FF,,국산,2195.0,650.0,100000
10074,현대 제네시스 쿠페 200 터보 P,08/10(09년형),2009.0,가솔린,,210.0,4.0,30.5,FR,,국산,2641.0,990.0,110000
10075,현대 i30 PD 1.6 T-GDi 스포츠 프리미엄,16/09(17년형),2017.0,가솔린,,204.0,4.0,26.9,FF,,국산,2470.0,1490.0,80000
10076,현대 제네시스 쿠페 200 터보 P,09/05,2009.0,가솔린,,210.0,4.0,30.5,FR,,국산,2641.0,730.0,150000
10077,기아 올 뉴 카니발 2.2 디젤 11인승 프레스티지,14/06(15년형),2015.0,디젤,,,,,,,국산,,2000.0,100000
10078,제네시스 EQ900 3.8 GDi AWD 프리미엄 럭셔리,16/03,2016.0,가솔린,,315.0,6.0,40.5,AWD,,국산,8740.0,5800.0,40000
10079,현대 싼타페 더 프라임 2.0 디젤 2WD 밸류 플러스,17/07(18년형),2018.0,디젤,,186.0,4.0,41.0,FF,,국산,3140.0,2470.0,10000
10080,현대 카운티 캠핑카,03/02,2003.0,디젤,,,,,,수동,국산,,3650.0,100000
10081,현대 LF쏘나타 2.0 LPi 프리미엄 스페셜,15/06,2015.0,LPG,,151.0,,19.8,FF,,국산,,950.0,150000
10082,쉐보레 카마로 SS 6.2 V8,18/07,2018.0,가솔린,,453.0,8.0,62.9,FR,,국산,5027.0,3280.0,30000
10083,기아 K5 2.0 LPi 럭셔리,11/11(12년형),2012.0,LPG,,144.0,,19.3,FF,,국산,,300.0,190000
10084,현대 싼타페 더 프라임 2.0 디젤 2WD 익스클루시브,15/10(16년형),2016.0,디젤,,186.0,4.0,41.0,FF,,국산,3198.0,1790.0,80000
10085,GM대우 라세티 프리미어 SE 일반형,09/11(10년형),2010.0,가솔린,,114.0,4.0,15.5,FF,,국산,1348.0,155.0,160000
10086,기아 뉴 오피러스 GH330 최고급형,08/10(09년형),2009.0,가솔린,,247.0,6.0,31.5,FF,,국산,4310.0,679.0,140000
10087,기아 그랜드카니발 하이리무진 11인승 GLX,08/04,2008.0,디젤,,197.0,,43.0,FF,,국산,4541.0,1192.0,110000
10088,현대 에쿠스 VS 450 알칸타라,07/10,2007.0,가솔린,,268.0,8.0,37.9,FF,,국산,7696.0,890.0,140000
10089,GM대우 알페온 EL300 슈프림,15/00,2015.0,가솔린,,263.0,6.0,29.6,FF,,국산,3833.0,2500.0,30000
10090,쌍용 G4 렉스턴 2.2 디젤 4WD 헤리티지,18/09,2018.0,디젤,,187.0,4.0,42.8,4WD,,국산,4510.0,3110.0,20000
10091,기아 뉴 오피러스 GH270 LPI 고급형 럭셔리,06/09(07년형),2007.0,LPG,,165.0,,25.0,FF,,국산,3341.0,480.0,230000
10092,현대 더 뉴 아반떼 1.6 GDi 스마트,13/09(14년형),2014.0,가솔린,,140.0,4.0,16.9,FF,,국산,1734.0,850.0,60000
10093,현대 쏘나타 트랜스폼 N20 프리미어 블랙 최고급형,08/05,2008.0,가솔린,,163.0,4.0,20.1,FF,,국산,2374.0,490.0,170000
10094,현대 아반떼MD M16 GDi 럭셔리,11/04,2011.0,가솔린,,,4.0,,FF,,국산,1520.0,570.0,80000
